userid,name,screenname,location,accountcreated,follower,friend,verified
1058675444151574529,Dinnikusuma,Dinnikusuma_,"Ciamis, Indonesia",2018-11-03,3,39,0
164906283,Noki Nurdiantoro,Nokicigra,"Semarang, Jawa Tengah",2010-07-10,99,86,0
443731481,Sambora,Hilal_Prabu,Indonesia,2011-12-22,304,181,0
1149840105701384193,𝘼𝙢𝙗𝙖𝙧 𝙉𝙞𝙣𝙜𝙧𝙪𝙢,tulangrusukoni,"Kulon Progo, Yogyakarta",2019-07-13,66,69,0
973614888,lailyrucha,kayyumaniss,"Kota Surabaya, Jawa Timur",2012-11-27,442,436,0
1041522676165046274,ftmh,fatimahcp_,Indonesia,2018-09-17,59,78,0
124710800,Bella Bunda Amalia,bellbund,Indonesia,2010-03-20,941,323,0
66062574,H-1 #GathNas10JCI,okinantan,"Medan, Natal, Indonesia",2009-08-16,1014,1791,0
1183766627466141696,ceo of overthinking,adindaashofia,"Bandung, Jawa Barat",2019-10-14,117,179,0
3278973248,Tora gwenn,suckworldl,east blue,2015-07-13,113,376,0
1194501281374588928,lala,lala13244013,Indonesia,2019-11-13,1,26,0
384182290,ur crush,vikaandikad,Indonesia,2011-10-03,567,319,0
1049873545059360769,cyrus,surysquidy,"Yogyakarta, Indonesia",2018-10-10,219,205,0
304254961,FF,fitrizakiyatulf,Indonesia,2011-05-24,335,324,0
1084851545886228480,Faizzi Ardhitara,muhammad_faizzi,Indonesia,2019-01-14,5,91,0
271338598,𝓉𝒶𝓇𝒶,taraeln,Wherever my mind takes me,2011-03-24,2120,403,0
361107212,C I N T H Y A,idaman_km,Indonesia,2011-08-24,253,198,0
1277052516870483968,🦋 aku open joki toefl 🦋,kkonstituantee,"Barcelona, Spain",2020-06-28,21,87,0
49965442,Izzah. A. Rahmani,izzahabdr,Depok,2009-06-23,537,357,0
540015367,Yasmine,amirarmzn,Indonesia,2012-03-29,397,295,0
2406385500,-,hanansalsa_,Indonesia,2014-03-23,137,335,0
998107589836591105,🖇chronosaurus ↺| stream resonance!!,gvccic0rn,Indonesia,2018-05-20,260,431,0
113001128,Pramesti Baskara Putri,Inesbaskara,"ÜT: -7.3149252,108.2299075",2010-02-10,714,334,0
783453234950045696,Elizaaa,eliza_ulfiana,Indonesia,2016-10-04,92,242,0
480903760,Clara,claraanastasita,"Kota Surabaya, Jawa Timur",2012-02-02,675,218,0
1014865908966313984,tingkerbelofexo,ooonnnneeeee_,Korea selatan,2018-07-05,36,206,0
1214937678237462529,rnxx,rindaaizza,"situbondo, jawa timur ",2020-01-08,228,228,0
511916567,AYU,AyuLisnaaW,Stay&Calm!!,2012-03-02,476,206,0
41131470,95,trintans,Indonesia,2009-05-19,951,786,0
413845735,Maudi,Maudiif,"Jakarta,Indonesia",2011-11-16,540,420,0
1269424849,ϲհɑѵɑ👸,dwnsanndi,Indonesia,2013-03-15,480,484,0
4179016038,Arif Wicaksono,arifwicaksono64,Indonesia,2015-11-09,32,44,0
581625517,Hai,dianresstu,Banjarnegara,2012-05-16,91,159,0
268136346,Nabila,NR_nabila,🇮🇩🇰🇷🇩🇪,2011-03-18,643,431,0
1009478582307942401,tari,ganjaxganja,Jakarta Capital Region,2018-06-20,39,139,0
55244636,Adhil Novandri,adhilnovandri,"Jakarta, Indonesia",2009-07-09,182,237,0
54196218,pras,sandyprasetya,Bandung - Yogyakarta,2009-07-06,914,461,0
404616882,デイタ,afedaaaaa,Grissee,2011-11-04,270,427,0
76251698,Han,heyhaaaan,🇮🇩🇲🇾,2009-09-22,2130,663,0
705440220,rastra bukan rasta,ata_rastra,Indonesia,2012-07-19,162,169,0
106112490,cha,erichavegalia,Indonesia,2010-01-18,1059,457,0
376642286,Aigoo ya~,marinamarinaput,Indonesia,2011-09-20,1197,1163,0
120467019,Hevrı,telahbebas,"Kulon Progo, Yogyakarta",2010-03-06,800,372,0
1288699864834928640,as,selaipeanuts,Indonesia,2020-07-30,21,15,0
1144217884073197568,zahraa OPEN NETFLIX,zahrasaurus,Indonesia,2019-06-27,3382,3430,0
2299048178,midnight grqvity 🔪🔫,tiffanyaurellie,2cool 4u 🐚🌬,2014-01-19,233,158,0
1152717447016960000,syg,adiyavirlii,Slmn - Mgl,2019-07-20,228,244,0
245734246,kacangijo,putrivg,+62,2011-02-01,918,404,0
1139059157141581824,temen tapi demen,iniabeltok,Indonesia,2019-06-13,35,99,0
905705839,inisial R,sonsinner666,Indonesia,2012-10-26,110,120,0
1144217884073197568,zahraa OPEN NETFLIX,zahrasaurus,Indonesia,2019-06-27,3382,3430,0
119990550,Anna,annanooy,Indonesia,2010-03-05,1212,667,0
1144217884073197568,zahraa OPEN NETFLIX,zahrasaurus,Indonesia,2019-06-27,3382,3430,0
1139059157141581824,temen tapi demen,iniabeltok,Indonesia,2019-06-13,35,99,0
1207261425766293504,Hanan Ashrawi Surya Ningsih,hanan_asn19,Indonesia,2019-12-18,3,83,0
2204099731,Imam Ismail,imam_MI20,"Jakarta,indonesia.",2013-11-20,438,318,0
1144217884073197568,zahraa OPEN NETFLIX,zahrasaurus,Indonesia,2019-06-27,3382,3430,0
4657750041,tukangbersih,ajakajakdong,diatas tanah,2015-12-30,70,2548,0
1033630896711073792,vxL,bLxhn,Indonesia,2018-08-26,2,24,0
271338598,𝓉𝒶𝓇𝒶,taraeln,Wherever my mind takes me,2011-03-24,2120,403,0
80575759,Jo Johnson,jojhnsn_,"East Borneo, Indonesia",2009-10-07,476,456,0
1178984820669440001,joi,waffleei,Indonesia,2019-10-01,591,620,0
784644979159212032,Sheila Masria,sheilamasria,"Jakarta, Indonesia",2016-10-08,37,241,0
54911339,cheerful nihilist 🥲🌻,NaughteaSolehot,next door,2009-07-08,2238,833,0
610312071,Isti,istinrn,"West Borneo, Indonesia",2012-06-16,921,326,0
551832277,Lira Audia,Liraudiaa,Pekanbaru,2012-04-12,477,230,0
1075080324596391936,ponakan pak RT,Niningsaleh1,"Kalimantan Barat, Indonesia",2018-12-18,412,497,0
1144217884073197568,zahraa OPEN NETFLIX,zahrasaurus,Indonesia,2019-06-27,3382,3430,0
178983802,Mawar,mawaaaarrrrr,"Bengkulu, Indonesia",2010-08-16,1255,747,0
1297521904132079617,𝕽𝖊𝖘𝖞,resyhrp__,"Riau, Indonesia",2020-08-23,324,434,0
431540233,Boris,acupofwedang,Indonesia,2011-12-08,703,486,0
1109957784185892864,gilang rizki bukan gilang dirga,hellomotherfvck,Indonesia,2019-03-24,50,151,0
70149829,nuzulina,nuzulinakurnia,Cilacap - Jogja,2009-08-30,238,206,0
367822593,nazarekt,duckbathriver,Saint,2011-09-04,321,270,0
71477517,Fenny Yutika Selly,fennyutika,Indonesia,2009-09-04,309,251,0
122541689,SITIƧ,SitiSprytii,Indonesia,2010-03-13,443,353,0
191349832,Bimo D,bimodgdy,"Malang , EJ , ID",2010-09-16,452,271,0
824577469,rina,rinasoetarti,Semarang,2012-09-15,143,359,0
1109737069092335618,Dista Viantari Mailia,distaviantari_,"Blitar, Jawa Timur",2019-03-24,709,1919,0
431195687,Andina Rahmadyaning,aforandina,Indonesia,2011-12-08,210,166,0
1293699316154941440,milkybanana,febifabloo,"Kota Cirebon, Jawa Barat",2020-08-13,443,475,0
1119423725915402240,nisss,ikagannisa,Indonesia,2019-04-20,60,111,0
1330733088582762496,ez,lil_anglcdmn,Location Unknown,2020-11-23,156,201,0
1075080324596391936,ponakan pak RT,Niningsaleh1,"Kalimantan Barat, Indonesia",2018-12-18,412,497,0
853885543486181376,Lily,Firlymaulidini,Indonesia,2017-04-17,123,105,0
1682820024,Biang Kerok,Bagasref,Jakarta Selatan,2013-08-19,192,166,0
777930774490132480,Sipittt,Syifafit08,Indonesia,2016-09-19,33,107,0
1211529305743753217,♡,aisseutea,Indonesia,2019-12-30,114,121,0
883315495763492864,Namaku,anjsfy,"Madiun, Indonesia",2017-07-07,214,210,0
1309133823792345088,aqquuuue,aaarriiiee__uzz,"Kota Madiun, Jawa Timur",2020-09-24,7,70,0
1075080324596391936,ponakan pak RT,Niningsaleh1,"Kalimantan Barat, Indonesia",2018-12-18,412,497,0
904703654115938304,lotalitilo,EkaShofiyanah,"Batang, Indonesia",2017-09-04,42,95,0
63916518,Diandra,diandragl,Indonesia,2009-08-08,787,448,0
210336282,medina 🦄,cyrosieposie,Somewhere Over The Rainbow,2010-10-31,2906,529,0
2646832231,🧸🎈,zxxoo_,Indonesia,2014-07-15,162,1368,0
402499429,Agung Nugroho,_agungnug,Yogyakarta,2011-11-01,365,373,0
1075080324596391936,ponakan pak RT,Niningsaleh1,"Kalimantan Barat, Indonesia",2018-12-18,412,497,0
862511869,tane,Intanfbrnty,"jakarta,indonesia",2012-10-05,332,136,0
1103196852122316801,.,astrxch,Indonesia,2019-03-06,24,119,0
1017627304858533888,ㄴㄷ,peachynana__,"Seoul, Republic of Korea",2018-07-13,280,261,0
2997362024,mipan yakakus~,y0uthou,Indonesia,2015-01-26,226,264,0
1207299425938264064,Edelweiss,JiJoonweiss,Indonesia,2019-12-18,12,33,0
1168494095045496832,Ria,MeishaRia,"Tegal, Jawa Tengah",2019-09-02,36,214,0
1301352072755855361,payy,ppay__,Indonesia,2020-09-03,24,65,0
1278278405180452864,Phira,dragonbebee,Indonesia,2020-07-01,18,66,0
84729805,纳毅先,nabilbillie,Federasi Indonesia,2009-10-24,266,182,0
1101431007088074753,Jodohmu,adalahakoh,Earth 🌍,2019-03-01,20,39,0
272554457,tesubbe,ebbuset,Pluto,2011-03-26,760,372,0
297192833,Fitri,fitrisyhrr,Indonesia,2011-05-12,1120,548,0
379574895,Sascia Esrauli,sasciaesrauli,Indonesia,2011-09-25,398,328,0
382637600,Aku yg mana?,Anakpakisman,Indonesia,2011-09-30,283,819,0
1146612288054423553,Babiyakult,bbiyakult,mars,2019-07-04,861,885,0
94690280,William Harry,freewwilly,"Jakarta Selatan, DKI Jakarta",2009-12-05,69,117,0
1131372592500109313,NAMJO-ON:E for President||streaming LifeGoesOn✨,beauty_vanny,Indonesia,2019-05-23,165,210,0
1226278445560152065,ON - SQUIDWARDFESS,squidwardfess,INDONESIA,2020-02-08,251621,10312,0
819241256,Acha,DChacha1,Indonesia,2012-09-12,704,68,0
1123046944094412800,Anot,anotanot_,Indonesia,2019-04-30,0,20,0
1015954280103047169,Amandagheaaaa,amandagheaaaa,"Bandung, Indonesia",2018-07-08,41,110,0
247635584,hhhhhhh,halimatussadiyh,East Borneo,2011-02-05,437,216,0
1358782838,And,and0999,Indonesia,2013-04-17,53,72,0
1122827318265647105,Hfwafi,hfwafi,"Cikukulu, Jawa barat",2019-04-29,61,87,0
379539151,ressyamalia,ressyamalia,"Semarang, Jawa Tengah",2011-09-25,258,385,0
907347852,Ara (PAKE MASKER YG BENER),Percyathena,Indonesia,2012-10-27,841,847,0
949015754,dinwsaur.,debyrizky_,Indonesia,2012-11-15,307,234,0
178983802,Mawar,mawaaaarrrrr,"Bengkulu, Indonesia",2010-08-16,1255,747,0
476660681,Kudil,ArdilaMayasari,UEA,2012-01-28,168,151,0
487375827,dea rosa,Deadearosa,indonesia,2012-02-09,269,191,0
348464676,DINA,helloakuDina,"Kota Sukabumi, Jawa Barat",2011-08-04,391,323,0
297192833,Fitri,fitrisyhrr,Indonesia,2011-05-12,1120,548,0
968710253725528069,Ibn Jazuli,ArrosyidIqbal,Pinggir Sawah,2018-02-28,596,469,0
1243439566406569985,sisi,bullsetaaan,Indonesia,2020-03-27,608,627,0
1148416457052545024,Chaw 🐣,chnp8897,Indonesia,2019-07-09,9,153,0
1230041829816406016,Anggik,Anggikkkkkk1,Indonesia,2020-02-19,59,78,0
94041554,鳥,ulfa_rosliana,"Shimane, Japan",2009-12-02,276,279,0
1135660336621604865,si jelek dr gua hantu,alifahhhhhhhh,Indonesia,2019-06-03,92,111,0
452816932,Singgih Cahyo M,singbosing,Tergantung situasi dan kondisi,2012-01-02,528,530,0
250201506,idraW iseD aksiF,fiskadewa,"Karawang, Jawa Barat",2011-02-10,515,184,0
1177083076234506240,Yunita Winda Heni,YunitaWindaHen1,Indonesia,2019-09-26,6,30,0
1728265759,🧕🏼,pwerpuffgirl00,Indonesia,2013-09-04,86,87,0
1253526349,𝐀𝐜𝐤𝐞𝐫𝐦𝐚𝐧,hanadragon_,"Kota Surabaya, Jawa Timur",2013-03-09,340,178,0
1185789773283069952,dina,166cmdandelion,Indonesia,2019-10-20,13,66,0
975339468,Nov!,nvkrtika,🇮🇩,2012-11-28,285,326,0
892897796,-,amali_bagas,"Surabaya, Indonesia",2012-10-20,206,129,0
974268046134030336,selanaufal,naufal_sela,"Karanganyar, Indonesia",2018-03-15,66,93,0
760062368,-,hfl_p,Indonesia,2012-08-15,195,143,0
1011481443531309056,H a R u,babybrowngirls,meet me in the middle.,2018-06-26,27,26,0
335824219,bekecot terbang 🚀,ayisituyaais,INDONESIA,2011-07-15,687,458,0
77179711,apalukata,celotehdia,Bandung,2009-09-25,672,471,0
93815934,Indi,widyindriani,Indonesia,2009-12-01,467,299,0
536994192,레스 타리 데위 말로 카,tarimaloka,"Bali, Indonesia",2012-03-26,323,261,0
1042398647919341569,MasamiRogers,herunulhakim,Waktu Indonesia Barat,2018-09-19,117,110,0
2348599620,Heni Anisa Putri,henianisa1,Brebes - jateng - Indonesia,2014-02-17,428,278,0
1181061190027366400,ami,pingkyuin,infj-t,2019-10-07,272,315,0
1206160070834151424,winda,windamaedy22,Indonesia,2019-12-15,11,16,0
2940186057,Nikmah,nikmah___,Indonesia,2014-12-25,119,169,0
469947590,&rrö,AndariTR,Indonesia,2012-01-21,699,660,0
377128954,balqis zhahira,balqis_zhahira,Indonesia,2011-09-21,456,434,0
377128954,balqis zhahira,balqis_zhahira,Indonesia,2011-09-21,456,434,0
377128954,balqis zhahira,balqis_zhahira,Indonesia,2011-09-21,456,434,0
1162232542893760512,Colox,Syafiq_Alz,"45°09'43""S 120°29'51""W",2019-08-16,35,76,0
75977907,yyy,mchmdyogi,Indonesia,2009-09-21,415,351,0
291644274,baby 🦀,yrfavoritegirl,SD sampai tua,2011-05-02,694,312,0
1886111779,Rin ﾍ(￣▽￣*)ﾉ,Airyn01,Buitenzorg,2013-09-20,493,1023,0
814252380,Ikiw,RizkydwiA,EASTERN BANDUNG,2012-09-10,155,88,0
1072927002,pew,saeroyidanbam,"Depok, Indonesia",2013-01-09,442,395,0
1070297641,calon mantu,laahrindu,Indonesia,2013-01-08,283,241,0
1304269421792227328,och,koushirecat,she/her | id/eng | rt heavy,2020-09-11,101,136,0
311828607,𝒓𝒐𝒔 || #TheRenaissance✨,haerosie,SJ Label,2011-06-06,1493,895,0
1145545901391224832,sukadasteran,iniiniaw,pluto,2019-07-01,1883,1903,0
636589699,Regista,Registayuspri,Indonesia,2012-07-16,378,124,0
1028938192798380034,Warga Lokal Jawa,Farinrachman,"Kota Mojokerto, Jawa Timur",2018-08-13,117,682,0
197435633,dwi,ayu_dwiinda,"Jakarta Capital Region, Indone",2010-10-01,410,328,0
2276073644,efrilliana,efrilliana_dewi,never meddling Affairs,2014-01-04,438,392,0
1144927322425794560,Nisa,kepompon99,"Bandung, Indonesia",2019-06-29,8,12,0
1004843791914659840,Hdyt,doff_minggo,Indonesia,2018-06-07,3,128,0
2181695342,kuRa-kuRa,rosallia_,Indonesia,2013-11-08,31,127,0
984372648900571136,jangan panggil bu,atlitrebahan_,"Yogyakarta, Indonesia",2018-04-12,16,132,0
274399548,Ananda Nabilla S,Nabillaans,Indonesia,2011-03-30,808,329,0
1098273669405495296,Yokbisayok!!,Oryzasativaaa__,"Tangerang, Banten",2019-02-20,42,93,0
715550402,Anes,nataleoyohanes,Medan-Indonesia,2012-07-25,446,388,0
215582553,Rahma,rahmaardania,Indonesia,2010-11-14,576,575,0
715550402,Anes,nataleoyohanes,Medan-Indonesia,2012-07-25,446,388,0
1255833145,dea,deanandaprtwii,Indonesia,2013-03-10,1564,291,0
2589179371,Niaay,lutfirezfecktor,"Kampung Rakyat, Indonesia",2014-06-26,1,4,0
895292244046958594,zloy,swastikaaa1,"Bandung, Jawa Barat",2017-08-09,55,1066,0
219584527,Teana 🐋,phininaa,"Depok, Indonesia",2010-11-25,508,489,0
1302574468041039873,Sienadwa,sienadwa,Indonesia,2020-09-06,6,20,0
1094899368123981825,panggil saja V,maubobo_,Indonesia,2019-02-11,136,182,0
608145641,irma ⭐️,irmamustafidah,Jawa timur,2012-06-14,59,48,0
702226562,Gat,xhaesooya,Indonesia,2012-07-18,659,468,0
97852264,Dinda A Lestari,Dindayundita,Indonesia,2009-12-19,630,294,0
1157185380992471041,LAA✨,Astralala6,Indonesia,2019-08-02,100,174,0
1013092715121106945,Onita Amelia,Onitt95,"Jakarta Capital Region, Indone",2018-06-30,5,18,0
610649240,Swagger~,Iksanmangiri,All Around The World,2012-06-17,1761,470,0
213203925,GOALS!!,hahayss_,"Tasikmalaya, Jawa Barat",2010-11-08,668,267,0
236235596,Ariffauzan,MF27AF,B,2011-01-10,289,223,0
4125457154,Na neun,napeunyeojaniya,Indonesia,2015-11-04,40,10,0
635071858,Adelia Janis,AdeliaJanis,Indonesia,2012-07-14,107,135,0
1214806850593411072,ristadellaa,ristadellaa2,"Pekan Baru, Riau",2020-01-08,93,124,0
210334387,J A N ಥ‿ಥ,CRZY0URS,Indonesia,2010-10-31,93,347,0
347753102,on - febryan,humanofswasta,Jakarta,2011-08-03,96,99,0
83800189,ghea,gskrtw,Busan,2009-10-20,542,387,0
1214806850593411072,ristadellaa,ristadellaa2,"Pekan Baru, Riau",2020-01-08,93,124,0
1284853471196221440,anak baik,IlhamMu44804339,Indonesia,2020-07-19,18,43,0
353705958,synthia🌸,beatbiru98,Earth,2011-08-12,975,341,0
354626161,🌹,awdyst,Indonesia,2011-08-14,445,234,0
496686336,Her,herlindaya,Blt ,2012-02-19,705,380,0
1267735280649252865,berel,pbertx,"Malang, Jawa Timur",2020-06-02,881,1047,0
1003685934552920064,Cangcimen,jangan_diinget,Warung tetangga,2018-06-04,11,183,0
120979844,Annisa Utami Rauf,kiutami,Indonesia,2010-03-08,1361,696,0
306613094,galuh pramitha,mithaaaagp,Indonesia,2011-05-28,862,125,0
1061999024289415168,Ama#,amatagar,konohagakure,2018-11-12,50,124,0
58797979,Farida Anggraeni,ndafarida79,Indonesia,2009-07-21,617,2005,0
105429586,APA KATAMU !!!,ruwah,Purwokerto,2010-01-16,100,672,0
186716655,Vera Handiny,JSprimaa,"Indonesia, central java",2010-09-04,199,105,0
129721935,susi solo 🌏,Qweensolo,"Sydney, New South Wales",2010-04-05,513,1317,0
78750952,Darin R Balqis,darinrania_,"Yogyakarta, Indonesia",2009-10-01,1009,439,0
2933019780,Herviadwik,hervia20,"Jepara, Indonesia",2014-12-17,236,60,0
1165776631480193024,El killua,mongDwuar,parung Panjang,2019-08-26,338,538,0
709901047,Arvi Wulan,arvikus,Indonesia,2012-07-22,783,418,0
77131121,iganksp,nyomankarina,Indonesia,2009-09-25,848,360,0
1066682005696405504,aku si,penguinmesir,hanbinland,2018-11-25,1676,1602,0
392150130,Galih_GaL,Remukan_Kacang,Kota SoLo,2011-10-16,85,222,0
1221508844464922624,Del Kocko,kokoramadhavian,Kleronesia,2020-01-26,1240,1118,0
1089085415384965125,MBAK RH,punyaasayaa,Indonesia,2019-01-26,55,358,0
959998357568569344,sinta,aaatnis,Central Borneo,2018-02-04,4420,4149,0
34867169,masgoy,ogoyss,meter di atas permukaan laut,2009-04-24,6516,742,0
1009173647196483584,Aprilia Nur Hidayati,Apriliahida1,"Semarang, Jawa Tengah",2018-06-19,16,47,0
568000516,hadeh,liyananae_,Indonesia,2012-05-01,448,87,0
1184325532806078464,stttt,pipipiiiiu,"Kota Cirebon, Jawa Barat",2019-10-16,1,64,0
1131868408515973120,i'm simping,erlinoise,Indonesia,2019-05-24,4292,4025,0
631130184,Ni Komang Ayu,sweetestcornn,somewhere in bali,2012-07-09,781,348,0
1045445729894903808,el Moccacino,rbramastyaa,Singapore,2018-09-27,148,188,0
107256793,parultodd,emmet_todd,"Yorkshire, Leeds",2010-01-22,279,240,0
1352932285155168256,วรรณ,warnwj,"Hauptstadtdistrikt Jakarta, In",2021-01-23,45,73,0
3038094117,One and only 🌼,pputmkangg,"Cikupa, Indonesia",2015-02-15,190,208,0
1141559997546917888,Arqasas Widyawan Putra,ArqasasPutra,"Kota Surabaya, Jawa Timur",2019-06-20,115,310,0
1318831719894544385,zbl,mutttiiiiiiii,Indonesia,2020-10-21,52,109,0
1019060258,ais,BNursyafiraa,"Cengkareng, Indonesia",2012-12-18,383,116,0
272341908,mzk,mizkydwey,Indonesia,2011-03-26,215,207,0
151741123,Masbas,yusufsuryo,Javanese bukan Japanese,2010-06-04,284,337,0
532873883,Sunia,Mitania98,Lamongan Jawa Timur Indonesia,2012-03-22,254,218,0
1140519071059812352,dipsy,sksmdwnnb,Indonesia,2019-06-17,80,93,0
1046980101102030849,travis cott,coocot,"Jakarta Timur, DKI Jakarta",2018-10-02,1134,1127,0
805000484712873984,vin.,nobodythisworld,BTS's Area,2016-12-03,354,665,0
575155940,꧋ꦲꦃꦩꦢꦥꦶꦥꦿꦩꦝꦤ꧀꧈ アフィフラマダン🇮🇩,apepramadhan,SBI - GMR,2012-05-09,1323,1440,0
1398350072,mia,MaiSftr11,Indonesia,2013-05-02,446,108,0
1269637423165665282,naa🐼🐱,Nha86921532,🇭🇰🇮🇩,2020-06-07,34,246,0
44104505,Dini F.,dinifadiah,"Osaka City, Osaka",2009-06-02,678,385,0
1075968216,pipit,pipitqautsar___,Indonesia,2013-01-10,1093,1096,0
